circuit_depth,gate_count,error_tolerance,job_type,priority_level,max_wait_time,backend_name,queue,success_rate,wait_time,status,avg_error,avg_noise,ai_confidence,processor_desc,suitability
118,1351,0.0368,QuantumFourier,Low,359,ibm_kingston,320,0.908,278.05,Online,0.000993,0.003644,0.959,Heron r2,0.4
37,1994,0.0473,BellState,Medium,108,ibm_fez,347,0.89,203.53,Online,0.001346,0.004622,0.761,Heron r2,0.248
155,829,0.023,BellState,Low,231,ibm_pittsburgh,269,0.825,427.95,Online,0.000782,0.004812,0.865,Heron r3,0.587
117,1757,0.0458,Grover,High,284,ibm_fez,130,0.975,235.96,Online,0.001276,0.004491,0.846,Heron r2,0.339
116,179,0.0167,VQE,Low,584,ibm_brisbane,232,0.883,183.95,Online,0.00071,0.002908,0.941,Eagle r3,0.695
87,1974,0.0449,QAOA,Low,148,ibm_pittsburgh,349,0.804,344.25,Online,0.000815,0.004523,0.796,Heron r3,0.256
190,129,0.0225,QAOA,Medium,69,ibm_kingston,186,0.752,221.71,Online,0.001013,0.003668,0.762,Heron r2,0.603
168,1095,0.0373,VQE,Low,230,ibm_torino,283,0.8,142.96,Online,0.001212,0.020077,0.919,Heron r1,0.384
125,1027,0.0423,VQE,High,296,ibm_kingston,281,0.825,451.24,Online,0.000994,0.003581,0.903,Heron r2,0.316
122,1913,0.0361,Grover,High,34,ibm_kingston,381,0.791,625.22,Online,0.001023,0.003741,0.87,Heron r2,0.372
54,944,0.0114,QAOA,High,540,ibm_pittsburgh,34,0.801,66.78,Online,0.0008,0.004487,0.76,Heron r3,0.803
101,1363,0.0211,VQE,Low,366,ibm_pittsburgh,25,0.775,43.58,Online,0.000774,0.004415,0.731,Heron r3,0.664
37,1253,0.0409,BellState,Low,409,ibm_kingston,312,0.911,342.1,Online,0.00094,0.003834,0.965,Heron r2,0.345
57,150,0.0382,Grover,High,537,ibm_fez,269,0.915,321.35,Online,0.001275,0.004466,0.889,Heron r2,0.399
126,127,0.0444,QuantumFourier,Low,344,ibm_marrakesh,37,0.767,62.51,Online,0.000935,0.003046,0.868,Heron r2,0.336
67,1526,0.0474,VQE,High,517,ibm_fez,280,0.758,419.71,Online,0.001238,0.004576,0.7,Heron r2,0.235
